Epoch 119 , SSIM 0.3759366157464683 , GDL 0.35914768965449184, TL 0.8412561696022749, DL 0.40595562546513975, DACC 90.33203125, DGACC 100.0, COLORFULLNESS 0.10617186658782884 
Epoch 120 , SSIM 0.3288608221337199 , GDL 0.24890806735493243, TL 0.6798335071653128, DL 0.4036323882173747, DACC 99.8046875, DGACC 100.0, COLORFULLNESS 0.10206461853522342 
Epoch 121 , SSIM 0.4137371052056551 , GDL 0.46562631777487695, TL 0.9905719286762178, DL 0.4044766561128199, DACC 87.939453125, DGACC 100.0, COLORFULLNESS 0.11120850568113383 
Epoch 122 , SSIM 0.4146218686364591 , GDL 0.4937010764842853, TL 1.0373958805575967, DL 0.406081409426406, DACC 80.810546875, DGACC 100.0, COLORFULLNESS 0.12907293146417942 
Epoch 123 , SSIM 0.4177284841425717 , GDL 0.8113654527114704, TL 1.3556733699515462, DL 0.4250651078764349, DACC 39.74609375, DGACC 99.853515625, COLORFULLNESS 0.1265794334904058 
Epoch 124 , SSIM 0.3754000258632004 , GDL 0.335063332808204, TL 0.8160925703123212, DL 0.4071251670829952, DACC 94.62890625, DGACC 100.0, COLORFULLNESS 0.1056292116700206 
Epoch 125 , SSIM 0.37751575093716383 , GDL 0.30565538245718926, TL 0.774613939691335, DL 0.4052073168568313, DACC 97.021484375, DGACC 100.0, COLORFULLNESS 0.09144280701730167 
Epoch 126 , SSIM 0.428635788615793 , GDL 0.40816090372391045, TL 0.9478017794899642, DL 0.40456200344488025, DACC 93.26171875, DGACC 100.0, COLORFULLNESS 0.11100508780509699 
Epoch 127 , SSIM 0.40795721020549536 , GDL 0.5914556903298944, TL 1.105430674739182, DL 0.4117292882874608, DACC 72.0703125, DGACC 100.0, COLORFULLNESS 0.10601777517877053 
Epoch 128 , SSIM 0.39380524633452296 , GDL 0.41688547073863447, TL 0.9149359697476029, DL 0.41671333322301507, DACC 93.505859375, DGACC 100.0, COLORFULLNESS 0.10424525112466654 
Epoch 129 , SSIM 0.27442463114857674 , GDL 0.23758322338107973, TL 0.5967299814801663, DL 0.40496954624541104, DACC 99.90234375, DGACC 100.0, COLORFULLNESS 0.08472213165805442 
Epoch 130 , SSIM 0.3178592217154801 , GDL 0.4079710954101756, TL 0.8186430055648088, DL 0.4050753128249198, DACC 93.408203125, DGACC 100.0, COLORFULLNESS 0.09281268936319975 
Epoch 131 , SSIM 0.3682217444293201 , GDL 0.41769274370744824, TL 0.8869776711799204, DL 0.4034600402228534, DACC 97.021484375, DGACC 100.0, COLORFULLNESS 0.10106318366888445 
Epoch 132 , SSIM 0.3779253037646413 , GDL 0.6578539914917201, TL 1.1309311799705029, DL 0.4306984737049788, DACC 87.79296875, DGACC 99.3896484375, COLORFULLNESS 0.09515188832301646 
Epoch 133 , SSIM 0.35752830235287547 , GDL 0.5542782609118149, TL 1.0105603153351694, DL 0.45035034348256886, DACC 82.958984375, DGACC 99.51171875, COLORFULLNESS 0.09875375154661015 
Epoch 134 , SSIM 0.2924634348601103 , GDL 0.23077699285931885, TL 0.6011003172025084, DL 0.4072908661328256, DACC 99.4140625, DGACC 100.0, COLORFULLNESS 0.07785988889372675 
Epoch 135 , SSIM 0.3934143390506506 , GDL 0.3508695012424141, TL 0.8198616136796772, DL 0.406679528998211, DACC 96.19140625, DGACC 100.0, COLORFULLNESS 0.07557777399779297 
Epoch 136 , SSIM 0.4037821195088327 , GDL 0.43036278593353927, TL 0.9337709927931428, DL 0.40377071290276945, DACC 91.357421875, DGACC 100.0, COLORFULLNESS 0.0996260879910551 
Epoch 137 , SSIM 0.4483117423951626 , GDL 0.44607501674909145, TL 0.9946826412342489, DL 0.40589524060487747, DACC 93.603515625, DGACC 100.0, COLORFULLNESS 0.100295882235514 
Epoch 138 , SSIM 0.41581230284646153 , GDL 0.4794035662198439, TL 0.9982536998577416, DL 0.40560101391747594, DACC 85.15625, DGACC 100.0, COLORFULLNESS 0.1030378263676539 
Epoch 139 , SSIM 0.39141898043453693 , GDL 0.6047999649308622, TL 1.0842943852767348, DL 0.40528456191532314, DACC 71.58203125, DGACC 100.0, COLORFULLNESS 0.08807543196598999 
